sector,sheet_name,name,importance,description,related_stocks,note
반도체,PCB,PCB,2,PCB 수출,"이수페타시스, 코리아써키트, 대덕전자, 심텍",기판 섹터
반도체,EMC (HBM소재),EMC (HBM소재),1,HBM 봉지재 수출 일본,"한미반도체, 두산",HBM 소재
반도체,반도체 검사장비,반도체 검사장비,1,반도체 검사장비,"리노공업, 오킨스전자, 티에스이",테스트
반도체,MLCC,MLCC,2,MLCC 수출,삼성전기,전자부품
이차전지,양극재 (NCM+NCA),양극재 (NCM+NCA),3,NCM+NCA 양극재 합산,"에코프로비엠, 엘앤에프, 포스코퓨처엠",배터리 핵심소재
이차전지,ESS (미국),ESS (미국),3,대미 ESS 수출 (미국이 핵심),"삼성SDI, LG에너지솔루션, 에스퓨얼셀",ESS 모멘텀
이차전지,전구체 수출량,전구체 수출량,1,전구체 수출,"에코프로, 에코프로비엠, 포스코퓨처엠",양극재 전단계
이차전지,양극재 (NCM 전구체 수입량),양극재 (NCM 전구체 수입량),1,NCM 전구체 수입,에코프로,원재료 수입
이차전지,탄산리튬 (수입량),탄산리튬 (수입량),2,탄산리튬 수입,"POSCO홀딩스, 포스코퓨처엠",리튬 가격 연동
이차전지,수산화리튬 (수입량),수산화리튬 (수입량),2,수산화리튬 수입,POSCO홀딩스,리튬 가격 연동
이차전지,분리막,분리막,1,분리막 수출,SKIET,배터리 소재
전력인프라,고용량변압기 (미국),고용량변압기 (미국),3,대미 고용량변압기,"HD현대일렉트릭, LS일렉트릭, 효성중공업",미국향 핵심
전력인프라,전선 (미국),전선 (미국),3,대미 전선 수출,"LS ELECTRIC, 대한전선, 가온전선",전력망 핵심
전력인프라,HVAC (미국),HVAC (미국),2,대미 HVAC 수출,"LG전자, 삼성전자, 캐리어",데이터센터 냉각
바이오·뷰티,보톡스 (전체),보톡스 (전체),3,보톡스 합산,"휴젤, 메디톡스, 대웅제약, 클래시스",보톡스 핵심
바이오·뷰티,보톡스 (미국),보톡스 (미국),3,대미 보톡스,"휴젤,메디톡스",미국 허가 모멘텀
바이오·뷰티,미용기기 (미국),미용기기 (미국),2,대미 미용기기,"클래시스, 제이시스메디칼, 원텍",미국향
디스플레이,OLDE TV 패널(전체),OLDE TV 패널(전체),2,OLED TV 패널 합산,LG디스플레이,TV 패널
디스플레이,OLED 유기재료,OLED 유기재료,1,OLED 유기재료 수출,"덕산네오룩스, 솔루스첨단소재, 이녹스첨단소재",소재
자동차,자동차부품 (미국),자동차부품 (미국),2,대미 자동차부품,"현대모비스, 현대위아, 만도",미국향 핵심
조선·기계,굴삭기 (미국),굴삭기 (미국),1,대미 굴삭기,"HD현대건설기계, HD현대인프라코어",건설기계
