Sector,ETFName,Code,Close,Return_20(%),Return_60(%),Return_120(%),RS_20(%p),RS_60(%p),RS_120(%p),RS5_bps,RS20_bps,Acceleration(bps/day),TrendQuality,Vol_20(ann%),AvgTradingValue(억원),Eligible,Quadrant,RS_20_Z,RS_60_Z,RS_120_Z,TrendQuality_Z,Acceleration_Z,MomentumScore,Rank
자동차,SOL 자동차 TOP3 플러스,466930,33990.0,17.33,59.54,122.23,15.69,10.75,11.13,-74.15,71.8,-145.95,15.8,97.13,836.91,True,강세 둔화,1.8974,2.2272,1.9485,2.7924,-2.107,1.7213,1.0
반도체,KODEX 반도체,091160,151495.0,-1.04,54.43,163.01,-2.67,5.64,51.91,111.3,-13.32,124.63,15.87,82.02,10473.74,True,회복 후보,1.2948,2.2272,1.9485,2.7924,-0.6724,1.6539,2.0
코스피200,KODEX 200,069500,123795.0,1.63,48.79,111.1,0.0,0.0,0.0,0.0,0.0,0.0,14.37,71.41,29227.78,True,리더,1.5456,2.161,1.7912,2.7114,-1.7821,1.5784,3.0
반도체 전공정,SOL 반도체 전공정,475300,24470.0,2.11,36.55,116.45,0.47,-12.24,5.35,529.99,2.32,527.66,2.88,126.26,262.29,True,리더,1.5898,1.586,1.915,0.1097,1.3363,1.3903,4.0
보험,KODEX 보험,140700,19060.0,15.2,22.49,52.11,13.57,-26.3,-58.98,94.64,62.65,31.99,2.29,59.88,60.74,True,리더,1.8974,0.9256,0.4261,-0.0239,-1.4973,0.8061,5.0
나스닥,NASDAQ Composite,IXIC,25929.66015625,0.48,14.25,10.55,-2.93,-38.58,-98.34,161.3,-14.37,175.67,8.14,20.61,2620842.83,True,회복 후보,1.2703,0.3487,-0.4848,1.3007,-0.218,0.6324,6.0
S&P500,S&P 500 Index,S&P500,7405.72998046875,0.94,8.97,8.12,-2.47,-43.86,-100.78,193.64,-12.1,205.74,7.1,12.89,421552.73,True,회복 후보,1.3136,0.1007,-0.5413,1.0652,0.0497,0.5685,7.0
전력설비,KODEX AI전력핵심설비,487240,43625.0,-30.64,39.18,80.94,-32.28,-9.62,-30.16,150.25,-191.06,341.31,10.02,76.22,4459.23,True,회복 후보,-1.32,1.7091,1.0932,1.7264,1.2568,0.5139,8.0
은행,KODEX 은행,091170,15010.0,-3.72,0.33,19.86,-5.35,-48.46,-91.24,299.29,-27.06,326.35,0.0,46.75,262.91,True,회복 후보,1.043,-0.1154,-0.3205,-0.5425,1.1236,0.3191,9.0
로봇,KODEX 로봇액티브,445290,37770.0,-7.45,14.23,48.91,-9.08,-34.56,-62.19,-243.82,-46.81,-197.01,3.59,91.93,1678.07,True,약세 지속,0.6926,0.5376,0.3518,0.2704,-2.107,0.2594,10.0
지주사,TIGER 지주회사,307520,23205.0,-12.53,15.85,39.7,-14.17,-32.94,-71.39,47.11,-75.06,122.17,3.74,61.27,227.42,True,회복 후보,0.2144,0.6137,0.1389,0.3044,-0.6943,0.2255,11.0
반도체 소부장,SOL AI 반도체 소부장,455850,28150.0,-15.84,6.93,61.78,-17.48,-41.86,-49.32,282.67,-94.35,377.02,0.67,97.7,955.85,True,회복 후보,-0.0966,0.1947,0.6497,-0.3908,1.3363,0.1873,12.0
친환경,PLUS 태양광&ESS,457990,39695.0,-20.85,16.77,76.27,-22.48,-32.02,-34.83,94.55,-125.0,219.55,2.0,84.66,216.26,True,회복 후보,-0.5663,0.6569,0.9851,-0.0896,0.1727,0.1176,13.0
반도체 후공정,SOL 반도체 후공정,475310,30805.0,-15.64,2.85,67.28,-17.27,-45.94,-43.82,206.4,-93.13,299.53,0.36,92.97,95.72,True,회복 후보,-0.0769,0.003,0.777,-0.461,0.8848,0.1097,14.0
건설,TIGER 200 건설,139220,8200.0,-22.05,14.13,72.63,-23.69,-34.67,-38.47,104.57,-132.67,237.25,0.41,70.55,197.08,True,회복 후보,-0.68,0.5324,0.9008,-0.4496,0.3303,-0.0042,15.0
에너지 화학,TIGER 200 에너지화학,139250,18135.0,-15.3,6.36,23.75,-16.93,-42.43,-87.35,83.66,-91.11,174.77,2.19,51.56,25.81,True,회복 후보,-0.0449,0.1679,-0.2305,-0.0466,-0.226,-0.0379,16.0
인터넷,Tiger 인터넷 top10,365000,4685.0,-3.4,-5.83,-1.99,-5.04,-54.62,-113.09,50.23,-25.41,75.64,0.0,43.2,31.97,True,회복 후보,1.0721,-0.4047,-0.8262,-0.5425,-1.1086,-0.0421,17.0
화장품,TIGER 화장품,228790,3390.0,-15.46,1.35,0.74,-17.1,-47.45,-110.36,247.86,-92.08,339.95,0.01,48.41,126.75,True,회복 후보,-0.0609,-0.0679,-0.763,-0.5402,1.2447,-0.1093,18.0
게임,TIGER TOP10 게임,364990,5090.0,-9.27,-4.86,0.1,-10.9,-53.65,-111.0,-52.21,-56.74,4.53,0.0,50.45,27.37,True,회복 후보,0.5216,-0.3592,-0.7779,-0.5425,-1.7418,-0.2795,19.0
원자력,HANARO 원자력iSelect,434730,68060.0,-25.62,2.08,35.44,-27.25,-46.71,-75.66,181.85,-156.08,337.93,0.22,65.41,479.47,True,회복 후보,-1.0145,-0.0332,0.0401,-0.4927,1.2267,-0.3086,20.0
조선,KODEX 조선 TOP10,494670,27200.0,-16.58,-10.85,-3.32,-18.21,-59.64,-114.42,183.82,-98.73,282.55,0.08,53.92,662.67,True,회복 후보,-0.1652,-0.6405,-0.857,-0.5244,0.7336,-0.3518,21.0
방산,PLUS K 방산,449450,61395.0,-17.31,-20.15,19.68,-18.95,-68.94,-91.42,200.67,-103.16,303.82,-0.19,50.12,595.01,True,회복 후보,-0.2347,-1.0774,-0.3247,-0.5855,0.923,-0.3957,22.0
원자력2,TIGER 코리아원자력,0091P0,18340.0,-28.25,-8.89,68.95,-29.88,-57.68,-42.14,133.48,-174.07,307.55,-0.0,64.51,713.17,True,회복 후보,-1.2615,-0.5485,0.8159,-0.5425,0.9562,-0.442,23.0
코스닥150,KODEX 코스닥150,229200,16560.0,-17.45,-16.26,3.73,-19.08,-65.05,-107.37,106.65,-103.97,210.62,-0.05,63.64,6410.4,True,회복 후보,-0.2469,-0.8947,-0.6938,-0.5538,0.0932,-0.4879,24.0
증권,TIGER 증권,102970,23285.0,-25.49,-14.46,55.39,-27.12,-63.25,-55.71,118.69,-155.21,273.89,-0.0,65.92,1046.11,True,회복 후보,-1.0022,-0.8101,0.5018,-0.5425,0.6565,-0.4938,25.0
우주,PLUS 우주항공&UAM,421320,36580.0,-25.75,-25.97,67.49,-27.38,-74.77,-43.61,153.15,-156.96,310.11,-0.13,70.63,283.56,True,회복 후보,-1.0267,-1.3513,0.7819,-0.5719,0.979,-0.5678,26.0
2차전지 제조,Kodex 2차전지산업,305720,16335.0,-25.61,-2.54,0.37,-27.25,-51.33,-110.73,-18.0,-156.06,138.06,0.45,64.51,1507.02,True,회복 후보,-1.0145,-0.2502,-0.7716,-0.4406,-0.5529,-0.6547,27.0
엔터,ACE KPOP포커스,475050,7540.0,-16.41,-32.04,-28.4,-18.04,-80.83,-139.49,148.72,-97.71,246.43,-1.18,44.91,72.04,True,회복 후보,-0.1492,-1.4224,-1.4373,-0.6715,0.412,-0.6829,28.0
2차전지 전고체,SOL 전고체배터리&실리콘음극재,0005D0,17435.0,-28.47,-4.83,18.95,-30.11,-53.62,-92.15,-84.06,-175.64,91.58,0.41,75.27,257.06,True,회복 후보,-1.2832,-0.3578,-0.3416,-0.4496,-0.9667,-0.7539,29.0
BTC,Bitcoin / USD,BTC/USD,61623.73046875,-24.6,-12.58,-33.52,-26.23,-61.37,-144.62,109.98,-149.28,259.26,0.0,36.91,28051881.35,True,회복 후보,-0.9186,-0.7218,-1.5077,-0.5425,0.5263,-0.7569,30.0
2차전지 소재,Tiger 2차전지소재FN,462010,5850.0,-28.35,-12.23,-8.02,-29.99,-61.02,-119.12,-31.09,-174.81,143.72,0.04,69.71,415.22,True,회복 후보,-1.2719,-0.7054,-0.9658,-0.5334,-0.5025,-0.8966,31.0
바이오,KoAct 바이오헬스케어액티브,462900,15745.0,-21.08,-32.53,-30.75,-22.71,-81.32,-141.84,20.81,-126.46,147.26,-0.78,78.87,475.81,True,회복 후보,-0.5879,-1.4224,-1.4916,-0.6715,-0.4709,-0.9329,32.0
ETH,Ethereum / USD,ETH/USD,1636.5,-30.04,-21.06,-50.72,-31.68,-69.85,-161.82,14.83,-186.76,201.59,-0.17,56.3,352226.38,True,회복 후보,-1.32,-1.1202,-1.5077,-0.581,0.0128,-1.0541,33.0
WTI,WTI Crude Oil Futures,CL=F,89.80000305175781,-8.43,2.92,49.47,-10.07,-44.76,-63.32,182.1,-52.15,234.25,-0.01,53.79,0.23,False,회복 후보,0.5996,0.0584,0.3257,-0.5447,0.3036,0.222,
Gold,Gold Futures,GC=F,4157.39990234375,-11.9,-19.55,-1.32,-13.53,-67.23,-114.1,114.88,-71.42,186.31,-0.5,19.17,0.44,False,회복 후보,0.2745,-0.9971,-0.8496,-0.6557,-0.1233,-0.3913,
철강,KODEX 철강,117680,13305.0,-24.23,-13.18,3.53,-25.86,-61.97,-107.57,77.17,-146.84,224.01,0.01,52.35,16.11,False,회복 후보,-0.8839,-0.75,-0.6985,-0.5402,0.2124,-0.6614,
